verb,agency,power
abandon,agency_pos,power_agent
abolish,agency_pos,power_agent
absorb,agency_pos,power_agent
abuse,agency_pos,power_agent
accelerate,agency_pos,power_agent
accept,agency_neg,power_agent
access,agency_equal,power_agent
accommodate,agency_pos,power_equal
accompany,agency_equal,power_theme
accomplish,agency_pos,power_equal
accord,agency_pos,power_agent
account,agency_equal,power_agent
accumulate,agency_equal,power_agent
accuse,agency_pos,power_agent
ache,agency_neg,
achieve,agency_pos,power_theme
acknowledge,agency_neg,power_agent
acquaint,agency_pos,power_agent
acquire,agency_pos,power_agent
acquit,agency_pos,power_agent
activate,agency_pos,power_agent
act,agency_pos,
adapt,agency_pos,power_agent
address,agency_neg,power_equal
add,agency_pos,power_agent
adjoin,agency_pos,power_agent
adjust,agency_pos,power_agent
administer,agency_pos,power_agent
admire,agency_equal,power_theme
admit,agency_pos,power_theme
adopt,agency_pos,power_agent
adore,agency_equal,power_theme
adorn,agency_pos,power_theme
advance,agency_pos,power_agent
advertise,agency_equal,power_agent
advise,agency_pos,power_agent
advocate,agency_pos,power_equal
affect,agency_pos,power_agent
affirm,agency_pos,power_agent
affix,agency_pos,power_agent
afford,agency_equal,power_agent
age,agency_neg,
aggravate,agency_pos,power_theme
agonize,agency_neg,
agonize over,agency_equal,power_theme
agree,agency_equal,
agree on,agency_pos,power_equal
aid,agency_pos,power_agent
aim,agency_pos,power_equal
alarm,agency_pos,power_agent
alert,agency_pos,power_agent
allege,agency_pos,power_agent
allow,agency_pos,power_agent
alter,agency_pos,power_agent
amble,agency_pos,
amend,agency_pos,power_agent
amuse,agency_pos,power_theme
analyze,agency_neg,power_equal
anchor,agency_pos,power_agent
anger,agency_equal,power_equal
angle,agency_equal,
animate,agency_equal,power_equal
announce,agency_pos,power_theme
annoy,agency_pos,power_agent
answer,agency_equal,power_theme
anticipate,agency_pos,power_equal
apologize,agency_pos,power_theme
apologize to,agency_pos,power_theme
appall,agency_equal,power_agent
appeal,agency_neg,power_theme
appeal to,agency_pos,power_theme
appear,agency_pos,
applaud,agency_pos,power_theme
apply,agency_pos,power_agent
apply to,agency_neg,power_equal
appoint,agency_pos,power_agent
appraise,agency_pos,power_agent
appreciate,agency_neg,power_equal
approach,agency_pos,power_equal
approve,agency_pos,power_agent
arche,agency_pos,power_agent
arc,agency_pos,power_agent
argue,agency_pos,power_equal
arise,agency_pos,
arm,agency_pos,power_agent
arouse,agency_pos,power_agent
arrange,agency_pos,power_agent
arrest,agency_pos,power_agent
arrive,agency_equal,
ascend,agency_pos,power_theme
ask,agency_pos,power_theme
assail,agency_pos,power_agent
assault,agency_pos,power_agent
assemble,agency_pos,power_equal
assert,agency_pos,power_agent
assess,agency_pos,power_equal
assign,agency_pos,power_agent
assists,agency_pos,power_theme
associate,agency_pos,power_equal
assume,agency_neg,power_agent
assure,agency_pos,power_agent
astonish,agency_pos,power_agent
attach,agency_pos,power_agent
attach to,agency_pos,power_agent
attack,agency_pos,power_agent
attempt,agency_pos,power_equal
attend,agency_equal,power_theme
attract,agency_equal,power_equal
attribute,agency_neg,power_agent
authorize,agency_pos,power_agent
avert,agency_pos,power_agent
avoid,agency_pos,power_agent
await,agency_neg,power_theme
awaken,agency_pos,power_agent
awake,agency_pos,
award,agency_pos,power_agent
babble,agency_pos,power_equal
backhand,agency_pos,power_agent
back,agency_pos,power_equal
baffle,agency_pos,power_agent
bag,agency_pos,power_agent
bail,agency_pos,power_agent
bake,agency_pos,power_agent
balance,agency_pos,power_equal
bald,agency_neg,
ball,agency_pos,power_agent
bandage,agency_pos,power_agent
bang,agency_pos,power_agent
bank,agency_pos,
ban,agency_pos,power_agent
bark,agency_equal,power_equal
barrel,agency_pos,power_agent
bars,agency_pos,power_agent
base,agency_pos,power_equal
bash,agency_pos,power_agent
bath,agency_pos,power_agent
bat,agency_pos,power_agent
batter,agency_pos,power_agent
battle,agency_pos,power_agent
bawl,agency_equal,
beam,agency_pos,
bear,agency_pos,power_equal
beat,agency_pos,power_agent
beckon,agency_pos,power_agent
become,agency_pos,power_theme
beep,agency_pos,power_equal
begin,agency_pos,power_equal
beg,agency_pos,power_theme
behave,agency_equal,
behold,agency_equal,power_theme
belch,agency_pos,
believe,agency_neg,power_theme
bellow,agency_pos,power_agent
belong to,agency_neg,power_theme
belt,agency_pos,power_agent
bend,agency_pos,power_agent
benefit,agency_neg,power_theme
besiege,agency_pos,power_agent
betray,agency_pos,power_agent
bet,agency_pos,power_equal
better,agency_pos,power_agent
bewilder,agency_equal,power_agent
bid,agency_equal,power_agent
billow,agency_pos,
bind,agency_pos,power_agent
bite,agency_pos,power_agent
blacken,agency_pos,power_agent
blackmail,agency_pos,power_agent
blame,agency_pos,power_agent
blanche,agency_pos,
blare,agency_equal,power_equal
blast,agency_pos,power_agent
blaze,agency_equal,
bleach,agency_pos,power_agent
bleed,agency_neg,
blend,agency_pos,power_agent
bless,agency_pos,power_equal
blind,agency_pos,power_agent
blink,agency_equal,
block,agency_pos,power_agent
bloody,agency_pos,power_agent
blot,agency_pos,power_agent
blow,agency_pos,
blur,agency_pos,power_agent
blurt,agency_pos,power_equal
blush,agency_neg,
board,agency_pos,power_agent
boast,agency_pos,power_agent
bob,agency_equal,
boil,agency_pos,power_agent
bolt,agency_pos,
bomb,agency_pos,power_agent
bone,agency_pos,power_agent
book,agency_pos,power_equal
boom,agency_pos,
boost,agency_pos,power_agent
boot,agency_pos,power_agent
border,agency_neg,power_equal
bore,agency_equal,power_equal
borrow,agency_pos,power_agent
bother,agency_pos,power_equal
bounce,agency_pos,
bound,agency_pos,power_agent
bowl,agency_pos,
bow,agency_pos,
bow to,agency_neg,power_theme
box,agency_pos,power_agent
brace,agency_pos,power_agent
brake,agency_pos,
brandish,agency_pos,power_equal
break,agency_pos,power_agent
breathe,agency_neg,
breed,agency_pos,power_agent
brief,agency_equal,power_theme
brighten,agency_pos,power_agent
brim,agency_pos,
bring,agency_pos,power_agent
bristle,agency_equal,
broadcast,agency_pos,power_agent
broaden,agency_pos,power_equal
brood,agency_neg,
browse,agency_pos,power_theme
bruise,agency_pos,power_agent
brush,agency_pos,power_theme
bubble,agency_pos,
buckle up,agency_pos,power_agent
buck,agency_pos,power_agent
budge,agency_pos,
buffet,agency_pos,power_agent
bug,agency_pos,power_equal
build,agency_pos,power_agent
bulge,agency_neg,
bump,agency_pos,power_agent
bundle,agency_pos,power_equal
bury,agency_pos,power_agent
burn,agency_pos,power_agent
burrow,agency_pos,
burst,agency_pos,power_agent
bustle,agency_pos,
bust,agency_pos,power_agent
button,agency_equal,power_agent
buy,agency_pos,power_agent
buzz,agency_pos,
cage,agency_pos,power_agent
cake,agency_pos,
calculate,agency_pos,power_equal
call,agency_pos,power_theme
calm,agency_pos,power_equal
camp,agency_pos,
cancel,agency_pos,power_agent
cap,agency_pos,power_agent
capture,agency_pos,power_agent
careen,agency_pos,
care,agency_pos,power_equal
caress,agency_pos,power_equal
carry,agency_pos,power_agent
carve,agency_pos,power_agent
cascade,agency_pos,
cash,agency_pos,power_agent
cast,agency_pos,power_agent
catch,agency_pos,power_agent
cause,agency_pos,power_agent
caution,agency_equal,power_agent
cave,agency_neg,
cease,agency_neg,power_agent
celebrate,agency_pos,power_theme
center,agency_pos,power_agent
center on,agency_pos,power_equal
chain,agency_pos,power_agent
chalk,agency_pos,power_agent
challenge,agency_pos,power_agent
change,agency_pos,power_agent
chant,agency_pos,power_theme
characterize,agency_equal,power_agent
charge,agency_pos,power_agent
charm,agency_pos,power_agent
char,agency_pos,power_agent
chase,agency_pos,power_theme
chat,agency_pos,
chatter,agency_pos,
cheat,agency_pos,power_agent
check,agency_equal,power_agent
cheer,agency_pos,power_theme
chew,agency_pos,power_agent
chill,agency_equal,power_agent
chime,agency_neg,
chip,agency_pos,power_agent
chirp,agency_equal,
choke,agency_pos,power_agent
choke on,agency_neg,power_theme
choose,agency_pos,power_agent
chop,agency_pos,power_agent
chuckle,agency_pos,
chuck,agency_pos,power_agent
chug,agency_pos,power_agent
churn,agency_pos,power_equal
circle,agency_pos,power_agent
circulate,agency_pos,power_agent
cite,agency_pos,power_theme
claim,agency_pos,power_agent
clamber,agency_pos,
clamp,agency_pos,power_agent
clap,agency_pos,power_equal
clarify,agency_pos,power_equal
clasp,agency_pos,power_agent
classify,agency_pos,power_agent
clatter,agency_pos,
claw,agency_pos,power_agent
clean,agency_pos,power_agent
cleanse,agency_pos,power_agent
clear,agency_pos,power_agent
clench,agency_pos,power_agent
click,agency_pos,power_agent
climb,agency_pos,power_equal
cling to,agency_pos,power_theme
clink,agency_equal,
clip,agency_pos,power_agent
cloak,agency_equal,power_agent
clock,agency_neg,power_agent
clog,agency_pos,power_agent
close,agency_pos,power_agent
clothe,agency_pos,power_agent
cloud,agency_pos,power_agent
cluster,agency_pos,power_agent
clutch,agency_pos,power_equal
clutter,agency_pos,power_agent
coat,agency_pos,power_agent
coax,agency_pos,power_equal
coil,agency_pos,power_agent
collapse,agency_pos,power_agent
collect,agency_pos,power_theme
collide,agency_pos,
collide with,agency_pos,power_agent
color,agency_pos,power_equal
combine,agency_pos,power_agent
comb,agency_pos,power_agent
come,agency_pos,
comfort,agency_pos,power_agent
command,agency_pos,power_agent
commemorate,agency_pos,power_theme
commence,agency_pos,power_agent
comment,agency_pos,power_equal
commission,agency_pos,power_agent
commit,agency_pos,power_agent
communicate,agency_equal,power_agent
compare,agency_equal,power_equal
compel,agency_pos,power_agent
compensate,agency_pos,power_theme
compete,agency_pos,
compile,agency_pos,power_theme
complain,agency_pos,
complete,agency_pos,power_equal
complicate,agency_pos,power_equal
comply,agency_pos,
compose,agency_pos,power_agent
comprehend,agency_pos,power_theme
compromise,agency_pos,power_equal
conceal,agency_pos,power_equal
concede,agency_pos,power_theme
conceive,agency_pos,power_agent
concentrate,agency_equal,power_theme
concentrate on,agency_pos,power_theme
concern,agency_equal,power_equal
conclude,agency_pos,power_agent
condemn,agency_pos,power_agent
conduct,agency_pos,power_agent
confer,agency_pos,power_equal
confess,agency_pos,power_equal
confine,agency_pos,power_agent
confirm,agency_pos,power_equal
confiscate,agency_pos,power_agent
confront,agency_pos,power_equal
confuse,agency_pos,power_agent
congratulate,agency_equal,power_theme
connect,agency_pos,power_agent
conquer,agency_pos,power_agent
consider,agency_neg,power_equal
consist of,agency_neg,power_theme
console,agency_pos,power_equal
